document,labels
피부속 수분을 채워줘야하는데 수분을 속을 가두어 주고 피부에착!,1
모공을 막지 않는 숨쉬는 #보습크림,1
"#저자극보습크림 으로 피부민감한분들도 바를수 있고 , 피부장벽 강화에 도움되고 진정효과로 피부를 편안하게~",1
피부겉돌지 않고 ~ 흡수력도 좋아 금방 촉촉해져요,1
민감한 내 피부 #저자극클렌저 로 안심하고 사용!,1
거품이 보글보글 세안후 땡김없이 촉촉,1
기분좋게 세안하기 완료~,1
끈적임없이 촉촉하고 피부에 잘 스며들어 담날 화장도 잘 먹는다는 사실,1
한번쓰면 또또 쓰게 되는 재구입이 좋은 #크림,1
살균제성분 전혀 없어 안심하고 몸과 섬유 차량내부 공간에 향기가 필요한곳 어디에나 뿜뿜! #베이비프래그런스,1
살균제성분 전혀 없어 안심하고 몸과 섬유 차량내부 공간에 향기가 필요한곳 어디에나 뿜뿜! #베이비프래그런스,1
잔잔한 꽃향을 머금은 바람따라 불어온 파우더리한향~,1
세련되고 우아한향~,1
요즘 나의 #외출필수템 이 되어버린,1
"땀냄새, 음식냄새 등에 뿌려주면 은은하고 상쾌한 향만 남겨주니깐요~",1
샤워후 가볍게 뿌려주면 잔향도 오래가 머리부터 발끝까지 향기로운 여자~,1
99% 퓨어골드와 피부단백질과 유사한 누에고치의 실크 단백질이 피부속까지 촉촉한 수분과 깊은 영양을 주는 #메종드24K골드잔크림,1
무겁지않고 산뜻하게 촉촉하게 바를수 있는 #크림,1
피부에 바르면 광이 돌면서 피부가 촉촉하고 매끄러우면서 쫀쫀해진 느낌~,1
꺄~ 완전 귀여워,1
내가좋아하는 휴대가 편리한 컴팩트한 사이즈,1
#접이식빗 인데 펼치면 거울까지??,1
빗에 동그란 볼팁 있어 자극없이 부드럽게 빗을수있고 책상이나 테이블에 세워놓을수 있어요,1
완전소장각??,1
안심하고사용할수있는코스모스오가닉유기농으로 #저자극필링 할수있지요,1
걱정끝!,1
저자극으로 순한 피치데일리 필랑젤로 맑고 투명한피부까지 ~Wow!,1
탐스럽게 익은 유기농 복숭아를 강원도추천에서 수확하여 제철의영양과신선함을 담은 #필링젤,1
간단하죠?^^,1
매끄럽고 촉촉하게 부드럽게 바르면서 제거 하니 필링하는데 즐거움이,1
무자극 각질제거로 피치페이스필링젤 추천!,1
앰플마스크팩이여서 그런지 촉촉하면서 광채까지~,1
안티에이징과 수분관리를 한번에 할수 있으며 팩이 밀착력도 있고 피부에 흡수까지 되서 화장도 잘 받아 들뜨는것도 없다는 사실요,1
안티에이징과 수분관리를 한번에 할수 있으며 팩이 밀착력도 있고 피부에 흡수까지 되서 화장도 잘 받아 들뜨는것도 없다는 사실요,1
수분 영양 쏙쏙~,1
피부톤 톤업만 해주는게 아니에요,1
"여드름,트러블, 칙칙한 피부에 즉각 톤보정까지~",1
바르는 즉시 피부가 촉촉해지면서 쏘옥~ 흡수까지 되니 뽀샤시하게변신!,1
번들거림이없어요~~,1
#올인원시카케어톤업크림 하나만 있으면 칙칙한 피부 안녕~~,1
오일보다 더 강력하고 워터보다 더 촉촉하고 순하게 깨끗하게 지원진다는 사실^^,1
잠들기전 깨끗하게 지워주고 속당김도 없고 촉촉하게하게 피부도 관리하세요,1
찬바람이 불고 건조해지면서 피부가 건조하고 모공이 늘 걱정이였는데 나의 고민을 해결해줄 #폴라초이스세럼,1
피부톤과 모공을 한번에 케어하는 미모부스터앰플,1
고농축 항산화제 성분이 피부에 영양을 공급하고 보습막을 형성하여 윤기 있는 피부를 만들어주는 세럼,1
제대로 피부관리 하고 있지요~,1
어머어머 쿠션이 완전 내스타일~~,1
이거 하나로 수분+리프팅+색조 OK!,1
끈적임없이 바르는 순간 밀착 되고 수분에센스 71%함유로 수분 팡팡 촉촉함까지,1
볼륨있는 광패피부로 50시간지속,1
소량으로도 결 커버까지 가능,1
LED조명으로 차안에서도 밤에도 메이크업하기 수정하기 편하네요,1
듀얼쿠션으로 하나만 가지고 다니면 되지요,1
부드러운 제형으로 끈적임없이 영양 촉촉보습도 챙겨주기 좋아요,1
촉촉하게 바르고 피부에 스며들게~,1
눈이 따갑지 않으니 목욕시간이 즐거워 즐거워,1
샤워후 건조함도 없고~ 뽀송뽀송 보습력도 채워주니 Good!,1
샤워후 건조함도 없고~ 뽀송뽀송 보습력도 채워주니 Good!,1
소중한 아기 피부를 지켜주는 리숨,1
순수한 자연성분 모링가와 제주왕벚꽃의 향긋함을 담은 퍼퓸케어 SET,1
일교차와 먼지등 각종 외부자극으로두피와 모발이 걱정이였는데 자극없이 부드럽게딥 클렌징하여 모발에 생기를 부여,1
"자연유래식물성으로 임산부,어린이, 민감성두피 모두 사용가능!",1
이번 추석날 소중한분들 고마운분들에게 선물용으로 안성맞춤!,1
바론모링가체리블라썸기프트세트 만나보세요~,1
운동하면서 바르면 더 좋을것 같아요,1
울통불통한 셀룰라이트에 도움도 된다니 안쓸수가없지요,1
시원한 쿨링감과 은은하고 기분좋은향까지 매일매일 발라서 우리 예쁘게 #몸매관리 해서 비키니 입어보아요,1
시원한 쿨링감과 은은하고 기분좋은향까지 매일매일 발라서 우리 예쁘게 #몸매관리 해서 비키니 입어보아요,1
#샤워기추천,1
기존 샤워기 상태보고 헉....,2
논물제거와 염소제거를 동시에 해주니 더 믿음이 가요,1
매트립스틱 부드럽게 발라 내마음에쏙!,1
지속력도 좋고 쓰면 쓸수록 너무이뻐 자꾸 바르게 되는 #립스틱,1
지속력도 좋고 쓰면 쓸수록 너무이뻐 자꾸 바르게 되는 #립스틱,1
색이 부담되지 않으며 섹시한색!,1
가을에 바르기 분위기 내기 너무 이쁜 립스틱 좋아좋아????,1
전성분 모두 안전한 성분으로 예민한 피부의 신생아 뿐만 아니라 민감한 피부의 성인들도 함께 쓸수 있는 코스베베아기로션,1
"발림성이 좋고 촉촉하고 보습에도 좋아서 아이가 세안하고 나오면 샤워하고나오면 얼굴,바디 꼭 챙겨 바르고 있어요~",1
"발림성이 좋고 촉촉하고 보습에도 좋아서 아이가 세안하고 나오면 샤워하고나오면 얼굴,바디 꼭 챙겨 바르고 있어요~",1
천연제품이라 믿고 쓸수 있어요~,1
바르자마자 자연스러운 톤업효과,1
"미백,탄력,주름,수분공급 12시간 지속력까지 Wow!",1
"미백,탄력,주름,수분공급 12시간 지속력까지 Wow!",1
100%살겨추출물 성분으로 피부를 뽀얗게 밝혀 자연스러운 쌩얼연출,1
유분기 없고 끈적임 없이 산뜻하게 촉촉하게 발라요,1
백도복숭아향 솔솔~,1
#피부나이 를 넉다운 시키는 강력한한방 날려주는 #빌리프넉다운,1
"피부장벽,피부결,항산화 3가지 집중케어 해주는 #넉다운워터에센스",1
영양감이 느껴지는 워터타입,1
끈적함없이 피부에 빠르게 흡수 되면서 속수분이 바로 채워 지는 느낌,1
모공 탄력 케어부터 피부 항산화 효과를 보고 보습감과 속수분을 채워주는 #에이지넉다운밤,1
쫀쫀하지만 쏙~ 스며들고 끈적함은 없어요,1
여름이라 더 쳐지는 피부 영양채워주고 탄력있게 탱탱하게 케어 중,1
샤워후 촉촉하기까지,1
화장후 지우는것도 중요한데 세안후 건조해서 더 고민인데 이제 고민 끝~~,1
부드럽고 촉촉하게 클렌징 하나로 홈케어 마사지로 깨끗하게 클렌징,1
나의 #애정템 #네추럴플로럴클렌징오일,1
"두피 영양성분과 천연성분이 두피와 모근에 영양과 화력을 주어 건강에 도움을 주고,외부자극에 지친 두피를 진정",1
수제로 만든 비누로 고급지방산과 글리세린이함유되어 있어 풍부하면서 고운 거품으로민감한 피부에 굿!,1
피부가 한번 뒤집히면 더 심해지고 급 올라오는 트러블에 바르기에 민감피부 진정에 Good!,1
내추럴테라피로 화난피부를 잠재우는 #센텔라멀티밤,1
연고같은 고체형태 제형이지만 녹여지면서 발림성 좋고 촉촉해요,1
연고같은 고체형태 제형이지만 녹여지면서 발림성 좋고 촉촉해요,1
푸석푸석 해보이기 까지 하니 한살이라도 어릴때 관리하자 하고 만난 더마허브 마스크팩 ~!,1
촉촉하고 시트가 일반 마스크팩 보다 훨씬 고급지고~♡♡,1
미스트는 자극이 적어 예민한 내피부에 부담없이 뿌려주고 있는데 끈적이지 않고 촉촉하니 굿♡,1
나만의 #시크릿 데이 #디어루시 로 기분 좋게 당당하게 ???♀?,1
꾸준히 사용한 #블랙에디션,1
상콤달콤한 #피치블라썸,1
고호적인 #런던스위트,1
세가지향 다~ 좋아,1
은은하게 향도 오래가고 성분도 착해??,1
은은하게 향도 오래가고 성분도 착해??,1
향기장인 #데메테르,1
향수보다는 자연스러운 향 출근하기전에 칙칙~~,1
가방에 쏘옥 넣어 챙겨다니기에도 굿굿 좋지요,1
방금 섬유유연제로 세탁한듯 은은한 향기~,1
나의 #애정템 이지요,1
아침저녁으로 사용하기 굿!,1
끈적임없이 피부에 쏙~ 흡수되고,1
#1일1팩 어렵지 않아요,1
수분겔이 흘러내리지않고 뿌리슨대로 밀착~,1
신기하네요오홋♡,1
셀럽 이효리씨도 애정한다는 #달바,1
가방에 넣고 다니며 필요할때 여행갈때 챙겨가서 뿌려주기 좋아요~??,1
촉촉한 피부를 위한 마스크팩 세일할때 또 사야지~~??,1
고급지다,1
#홈케어 로 딱!!,1
#동결건조 로 사용하기전에 섞어 신선한 상태에서 사용가능!,1
좋은성분을 그대로 보존한 #꽁꽁앰플,1
피부에 영양분이 그대로 흡수되서 케어가 너무 잘되요~~,1
#물벽크림 매일매일 발랐더니 내피부 이제 광이나요 광이~~,1
#모이스춰월서지컴플레스 진정효과 굿!,1
#수분폭탄,1
트러블있는날엔 #안티블레미쉴슬러쉬,1
끈적임 없이 촉촉하고 쫀쫀함,1
쿨링효과있어서 시원하기까지,1
끈적함없이 피부에 빠르게 스며들어 매끈매끈~,1
쫀쫀함으로 피부탄력감도 잡아줘요,1
"하나만으로 탄력,피부,윤기,수분 어느거 하나 포기하지않고 #피부관리 OK!",1
오일세럼 하나만 발라도 피부가 반짝반짝~~~빛이나요,1
#예민한피부 #노모어하이드토너 로!,1
빠른흡수력 Good!,1
끈적임 없이 피부결 정돈 되고 속부터 촉촉하게 채워주는 느낌,1
이제 #피부진정 #민감한피부 케어 이걸로 할래요~,1
허리라인 ~ 힙은 업!,1
뒷라인도 예술~ 옆라인도 예술로 만들어주는 #하이웨스트브리프사각거들,1
순면소재로 부드러워~ 걱정 NONO!,1
타이트한 옷을 입을때 옷 핏 잡아주고 미니스커트 착용히 속바지 대용 으로 입을수 있어 굿굿!,1
타이트한 옷을 입을때 옷 핏 잡아주고 미니스커트 착용히 속바지 대용 으로 입을수 있어 굿굿!,1
어떤 옷도 당당하게 입을수 있게 되었지요~~,1
나의 마음을 알아주는 #썬크림 없을까? 하고 만났다 드디어!,1
무자극 탄산수 #썬젤,1
번들거림 끈적임없이 빠른 흡수력,1
산뜻하게 마무리 Good!,1
100% 식물성분으로 만든 #천연화장품 으로 민감한 내 피부에도 OK!,1
커버력도 되고 꿀을 듬뿍들어가서그런지 피부가 쫀쫀하게 밀착되는 #허니쿠션 #틴프레드,1
커버력도 되고 꿀을 듬뿍들어가서그런지 피부가 쫀쫀하게 밀착되는 #허니쿠션 #틴프레드,1
10가지 자연유래오일이 함유 발색이 좋아,1
이뻐이뻐,1
#스페니쉬레드 세련되면서 섹시하다~,1
생기있는입술,1
피지와 모공까지 케어해주고 지성/트러블피부에 좋은 클렌징 발견!!,1
온천수 성분으로 세안후에도 당김없이 촉촉하게~~ 피부자극없이 쓸수있어 더 좋아요,1
얼굴은 물론 바디까지~,1
등가슴 트러블 고민 해결 OK,1
그럼 #닥터레미듀 #비타앰플 써보자구요~~,1
깊은 보습감에 피부진정 미백까지 하나로 관리가 되니 간편하구만~,1
깊은 보습감에 피부진정 미백까지 하나로 관리가 되니 간편하구만~,1
영양가득 천연 비타민 추출물,1
발랐을때랑 안발랐을때 너무 차이난다,1
피부결도 정돈되고 촉촉함이가득~,1
잠 못자고 스트레스 받고 날씨로 인해 활력 읽은 내피부가 생기있게 수분충전 되서 촉촉해졌다는 사실요~~~,1
무너진 피부 장벽을 강화해주는 고보습캡슐크림,1
부드럽고 촉촉하게 스며드는데 끈적함이 없어요,1
순한 성분에 보습까지 챙겨주니 요즘 잘 챙겨바르고 있어요,1
너무 건조해서 들뜬 화장까지.. 보습에 좋은 #페이스오일 이랑#세럼 만나고 고민 끝!,1
#멜릭서비타민세럼,1
밝고 탄력있는 피부,1
피부속 갈증을 해소해주고 영양까지 채워줘 피부가 밝아진 느낌~,1
끈적이지 않고 가벼운 제형으로 빠르게 스며들고 촉촉해요,1
"아침저녁으로 크림,오일바르기전 꼭 바르지요~",1
오일답지않게 사용감이 산뜻!,1
향은 강하지 않은 은은한 허브향~,1
아 너무 예뻐,1
탱글탱글 수분광이 예쁘고 슥~발라도 촉촉하면서 발색Good!,1
덧발르면 아주 선명한 컬러감까지 착색된 컬러가 오랜 시간 지속되고,1
다른 3가지 색 사와야겠어요,1
자극없이 미세먼지와 노폐물을 말끔히 닦아줄 #라치나타클렌징,1
온천수/올리브잎/위치하젤/로즈마리의 살 균효과와 정화기능으로 피부진정에 좋은 #라치나타클렌징밀크,1
"#올리브워터 는 피부독소제거, 피지와 박테리아 생선을 방지 끈적임 없고 촉촉",1
순하고 사용하기 굿!,1
클렌징 할수록 피부가 밝아지는 느낌,1
매일 밤 쓰는데 향까지 좋아 기분좋게 클렌징하지요,1
그래도 조금은 안심^^;,1
바운서기능은 6개월이면 끝인데 식탁의자로도 사용가능하니 사용기간이 아주 긴 바운서에요?,1
네무니라의 편안한 시트가 엄마품보다 더포근하게 감싸주어 5분만에 잠들게 해주네요??,1
역시 육아는 장비빨이죠오~~~!!,1
3개월부터 5살까지 사용할수있는 가성비 갑 범보의자에요,1
높은 등받이로 아기들의 허리를 잘 잡아주어서 어린 월령부터 사용이 가능해요,1
이유식먹는 시기부터 본베베 범보 의자에 앉아 먹으면 올바른 식사 습관을 길러 줄 수 있어요,1
"어디서나 의자, 식탁의자에 장착이 가능해서 좋아요",1
별도의 식탁의자 구매 필요없이 사용 가능하니 가성비 또한 최고에요????,1
프리뷰비잘스 마스크팩 요고요고 최고네요????,1
15가지 추출물이 피부보습 및 생기를 확돌게하고 바이오셀룰로오스마스크가 피부에 촥 달라붙어요,1
15가지 추출물이 피부보습 및 생기를 확돌게하고 바이오셀룰로오스마스크가 피부에 촥 달라붙어요,1
"시트자체만으로도 보습효과와 쿨링, 진정효과에 도움을준다고하니 진짜 대박템이죠?",1
보통 마스크팩과는 다르게40분동안 부착할 수 있어서 에센스 증발을 막아 촉촉보스 마스크에요?,1
알고 보니 100% 유기농 순면이라 생리통 증상도 줄여준다해서 더욱 안심 하고 사용해요~,1
이제 믿고 써보고 주변에도 추천해야겠어요^^,1
EWG그린등급 성분으로 민감한 아이피부에 안심하고사용해요?,1
"아기피부에 좋은 아보카도, 바오밥나무씨, 녹차씨, 포도씨 등이 들어가있고 녹용, 홍삼, 다시마성분이 피부에 너무좋다고해요",1
"아기피부에 좋은 아보카도, 바오밥나무씨, 녹차씨, 포도씨 등이 들어가있고 녹용, 홍삼, 다시마성분이 피부에 너무좋다고해요",1
은은한향도 너무 좋은데다 진짜순하고 자극이 없는것 같아요,1
은은한향도 너무 좋은데다 진짜순하고 자극이 없는것 같아요,1
아이 로션은 베리맘으로 정착해야겠어요??,1
귀여운 병아리 모양이라 넘나 좋아하네요,1
앞에 손잡이가있어서 남자아이들도 좋아할것같아요,1
간단하지만 구성이 많아서 놀이하듯 배변훈련 할 수 있어요,1
핑크퐁 캐릭터 패키지로 아이들이 먼저 손 씻고 싶게 하는 핑크퐁 핸드워시 발견????,1
"아이뿐만 아니라 엄마, 아빠, 아이 온 가족이 함께 사용 가능해요",1
연약한 유아 피부를 위해 순하고 촉촉한 성분으로 만들어서 안심하고써요??,1
아이가 좋아하는 핑크퐁 손씻기송과 함께 쉽고 즐겁게 위생교육도 할 수 있어요????????,1
단순히 노래만 나오는게 아니라 리틀램완구를 두드리면 경쾌한 효과음까지 나오니 쥐고흔들며 놀이해도 최고????,1
스피커가 두개가들어있어서 소리가 진짜 좋구요,1
우왕 굿????,1
넘나귀엽구요,1
왕추천??,1
향도좋은데 촉촉하게 발리고 흡수력도 좋아요,1
향도좋은데 촉촉하게 발리고 흡수력도 좋아요,1
베리 맘 크림은 보습력이 너무좋아서 한번만 발라줘도 장시간 촉촉해요????????,1
울 아기 로션으로 계속써야겠어요??,1
씻고난뒤에 로션을 듬뿍발라도 건조한 것 같아서 걱정이였는데 리틀마마 스파워시로 바꿔보았더니 오래도록 촉촉하네요!,1
스파워시는 천연유래성분으로만 99% 꽉채워져서 안심하고 사용해요,1
유기농스위트오렌지와 유기농라벤더블렌딩의 아로마테라피로 은은한향까지 아기 샤워시키며 엄마까지 기분좋아지네요~!!,1
온도조절이되니 너무 편하고 좋아요~,1
디자인도 북유럽풍에 군더더기없어요~,1
40분 온도유지기능이 있어서 분유포트로는 더할나위없어요!,1
분유물뿐만아니라 각종차와 커피까지 딱 맞는 온도로 마실수 있으니 편하고 행복하게 나만의 티타임도 즐길수 있어요~,1
사용하기 간편한 튜브타입 #선베이스,1
피부진정에 좋은 아줄렌 원료 성분으로 인해 화학색소가 아닌 연보라빛 색감 ??,1
바르고나면 끈적임없이 보송보송 + 톤업!,1
자연스러운 화장 원하시면 겟!겟!,1
주름과 미백을 동시에! #달바 #리프팅크림 ??,1
피부에 풍부한 영양과 윤기를 공급해줘요,1
아이슬란드 이끼 48% 함유로 자극 없이 부드럽게 #각질케어,1
수분공급도 동시에 되니까 마무리가 촉촉해서 좋당♥?,1
"#필오프팩 과 시트 마스크, 아이패치, 클렌징폼까지 구성 대박♥?",1
그 중 세이의 pick은! #포어클리어블랙숯필오프팩,1
피부 정화에 우수한 숯가루 함유,1
검은색이라 피지 뽑히는게 확 보여서 맘에 드네 ㅋㅋ??,1
자연스러운 톤업과 은은한 펄감 #나인위시스 #VB글로우 ♥?,1
이거 하나면 #광채메이크업 끗,1
풍성하고 쫀득한 거품과 상큼한 향이 매력적인 #천연비누,1
풍성하고 쫀득한 거품과 상큼한 향이 매력적인 #천연비누,1
세안 할 때마다 뿅 ~ 반한다?,1
트러블은 물론 묵은 각질까지 없애준다니 너는 정말 the love ♥?,1
컨디셔너 대신 #트리트먼트 쓰는 나에게 딱인 #어메이징트리트먼트 대용량,1
너무 좋아 ??,1
윤기+탄력+볼륨+매끄러움+유.수분밸런스,1
전문가용 원클리닉 #헤어트리트먼트로 집에서 #셀프헤어클리닉 하세요♥?,1
사용하면 사용할수록 더 좋아지는 #LG프라엘,1
더 넓어진 트라이앵글헤드로 얼굴의 굴곡진 부분까지 빈틈없이 케어 가능해요!,1
부위 별로 안내 멘트가 나오니 언제 어디를 케어해야하는지 알기 쉽더라고요??,1
"매일 팩하는 것도 미루는 왕 귀차니즘의 저도! 프라엘은 간편하고, 또 효과가 눈에 보이니 매일 하게 되더라고요!",1
"매일 팩하는 것도 미루는 왕 귀차니즘의 저도! 프라엘은 간편하고, 또 효과가 눈에 보이니 매일 하게 되더라고요!",1
지베르니 파데 넘넘 유명하자나요??,1
얇고 가벼운 리퀴드 제형이 피부결 사이사이에 얇고 매끈하게 밀착!,1
피부결과 톤을 자연스럽고 완벽하게 커버해 무결점 피부 완성!,1
시간이 지나도 처음 메이크업 한 것 같아요????,1
오늘 메이크업 넘넘 예뿌네 지베르니야 고마웡?,1
이게 바로 다 #아베다 덕분,1
두피에 바로 흡수되서 기름 좔좔 no! no!,1
앞으로 더 열심히 쓸거에요 ?,1
그래서!! 두피에 활력을 주는 #인바티어드밴스드리바이탈라이저 두피 집중케어 에센스 사용 중이에요,1
모발을 두꺼워보이게하고 풍성함을 유지시켜준대요????,1
며칠 사용했는데 좀 달라진 느낌,1
역시 아베다!,1
매일매일 꾸준히 써야지♥?,1
격하게 애정하는 #헤드스파7트리트먼트 ??,1
걱정되는 성분은 모두 무첨가로 건강하게 헤어관리 할 수 있어요????,1
편하고 빨라서 좋습니당,1
이거 쓰면 다른 트리트먼트 못씀,1
자연소재를 사용한 친환경 속 #언코티드247,1
만져보면 부드러움이 딱 느껴져요????,1
통기성이 좋아 쾌적하고 산뜻 여름에 입기 좋은 속옷이랍니다,1
통기성이 좋아 쾌적하고 산뜻 여름에 입기 좋은 속옷이랍니다,1
멋스러운 디자인과 전자파 차단기능까지ㅋㅋㅋ,1
멋스러운 디자인과 전자파 차단기능까지ㅋㅋㅋ,1
그래서인지 #눅스 #리치오일 수시로 찾게 되네요??,1
아침 세안 후에 ~ 건조함을 느낄 때 ~ 저녁 세안 후에 ~ 언제든 내 피부를 촉촉하게 해줘요,1
스프레이 타입으로 건조한 곳! 어디든 슉슉 ~~ 뿌려주기만 하니 너무 편함??,1
산뜻한 텍스처로 빠르게 흡수!,1
요즘 완전 꿀피부를 자랑합니당,1
이건 나만 쓸 수 없음 ㅋㅋㅋㅋ,1
"#눅스 #리치오일 쓴 뒤로는 아침에 이것저것 바르지 않고, 미스트 슉슉 뿌려준 뒤 눅스 발라주고 있어요??",1
오일이라 묵직할 것 같지만 산뜻한 텍스처로 끈적임 없는 마무리!,1
촉촉한 보습력으로 화장도 잘 먹는답니다,1
"광채 , 탄력을 동시에 케어할 수 있어요??",1
피부를 매끄럽고 탄탄하게 만들어주는 #더블R세럼,1
블링블링 고급진 골드빛 케이스,1
출시하자마자 완전 핫하죠,1
저도 발라보고 뿅 반했어요??,1
환절기 되니 피부가 노답인데 겔랑 덕분에 조금씩 살아나는 중,1
하루 종일 지친 피부 #NUXE #리치오일 로 릴렉스 해주기 ??,1
오일과 만나 보습력 대박입니당,1
다음 날 내 피부 반짝반짝 화장도 넘나 잘 먹어요??,1
자연 유래 성분 및 논 코메도제닉 테스르 완료,1
예민한 피부에도 안심하고 사용하세요,1
핑크 솔트가 들어가서 그른가 쫀쫀한 핑크빛 제형이에요!,1
클렌징 후에도 당김 없답니다??,1
오늘 난 35%의 솔트 입자로 노폐물과 미세먼지까지 딥 클렌징 피부야,1
개운하지?ㅋㅋㅋㅋㅋ♥?,1
아베다는 건강한 아름다움을 약속해요??,1
고농축 퀴노아 성분을 함유해 1회 사용만으로도 극손상 모발을 40% 빠르게 개선시켜 줘요,1
자연에서 찾은 건강한 원료!,1
"슈퍼푸드 퀴노아와 콩, 마카다미아 함유로 손상된 모발을 가득채워 건강하고 아름답게 가꾸어준답니다",1
여름에도 매끈하고 촉촉하게 #바이오오일 로 관리하기??,1
역시 바이오오일 건조할 때 찾게되지요,1
자연스럽게 피부에 밀착!,1
"모공, 각질 부각이 되지 않네요",1
수분광채까지 요거 넘 맘에 든당♥?,1
8가지 화학 성분을 빼고 자연유해 성분만 넣어 예민한 두피도 오케이??,1
풍성한 거품이 두피를 딥클렌징!,1
라임리치향 넘나 상큼한 것,1
유명템은 이유가 있네요 ♥?,1
미세먼지까지 클렌징해주는 #천연샴푸 #수퍼리브즈,1
모링가 씨앗 성분으로 유해성분 없는 천연 샴푸에요,1
"천연샴푸인데 거품도 풍성하고 두피를 진정, 머릿결도 부드러워짐",1
자연 그대로의 상쾌함을 느낄 수 있는 라울루 치약 ??,1
"치아미백, 충치예방, 구취 케어까지 오늘도 #라울루 로 치카 하세요♥?",1
#에뛰드하우스 #아이섀도우 #피치팜 컬러 존예 ㅠㅠㅠㅠㅠ,1
봄에 바르기 딱 좋당??,1
선크림은 무기자차가 최고!,1
백삼 미백 성분이 맑고 투명한 어린 피부 빛을 끌어올려준대요♥?,1
피부 곳곳을 적시듯 스며드는 텍스처 대박임,1
내일은 더 환하고 화사해지겠죠??,1
훈녀들 파우치 속엔 이런 #핸드크림 이 있을 것 같아,0
골드체인이 달린 악세사리 같은 #탬버린즈 #누드에이치앤드크림 ♥?,1
"베르가못과 패출리, 샌달우드 세 가지 천연 오일이 쏙 보습력도 좋고 향도 대박이야??",1
"베르가못과 패출리, 샌달우드 세 가지 천연 오일이 쏙 보습력도 좋고 향도 대박이야??",1
혼자 쓰기 아까운 핸드크림 친구들에게 선물각이다?,1
저자극 클렌저에요?,1
세정력도 우수하고 세안 후 촉촉해요♥?,1
세정력도 우수하고 세안 후 촉촉해요♥?,1
거품과 함께 은은한 천연 아로마향,1
세안할 때 마다 기분이 넘넘 조으다,1
좋은 클렌징폼 하나면 스킨케어 기본이 완성돼요,1
컬이 넘넘 잘 나와서 큼직한 #플랫폼고데기 질렀어요♥?,1
음이온과 원적외선을 방출하는 3중 세라믹 토르말린 코팅과 살균 및 세정 작용으로 모발을 건강하게,1
컬 잘 나오니 넘넘 조으다,1
역시 FHI는 고데기가 갑!,1
존슨즈하면 떠오르는 베이비 파우더 향의 #핑크로션 과 연보라색 #베드타임로션 파스텔톤의 NEW #존슨즈 패키지가 예쁘더라고요~,1
집에 돌아와 #액티브키즈샤이니샴푸 랑 #바디로션 써봤는데 정말 NEW버전으로 업그레이드되어서인지 흡수력도 더 좋아지고 향기도 더 좋은 거 같아요!,1
집에 돌아와 #액티브키즈샤이니샴푸 랑 #바디로션 써봤는데 정말 NEW버전으로 업그레이드되어서인지 흡수력도 더 좋아지고 향기도 더 좋은 거 같아요!,1
앞으로도 존슨즈 #샤이니샴푸 #베이비로션 으로 지켜줄게,1
워낙 유명한 브랜드^^,1
부드러우면서도 잔여물 없이 깨끗하게-,1
"교과서적인 라이브 칫솔, 라이브오랄스",1
? 360도 회전 로티세리로 바베큐도 OK,1
? 다양한 컨트롤메뉴로 손쉽게 요리 OK,1
? 터보 컨벡션으로 빠르게 고속 작동 OK,1
"? 그릴과 선반, 동시에 2단으로 조리도 OK",1
"? 내부 조명, 요리도어로 더욱 안전하게,",1
"? 간편한 내부청소, 자동차단 시스템 WOW",1
"38L 대용량이라 중, 대 사이즈 닭을 2개 동시에 조리할 수도 있어서 집에 손님들이 놀러와도 많은 요리도 뚝딱, 걱정이 없겠더라고요~^^",1
거기에 이렇게 기름도 쪽 빠지니 건강식이 따로 없죠?!,1
이제는 360도 회전으로 골고루 맛있게 먹어요 >_<,1
#보아스 #에어프라이어는사랑입니다,1
"한개 쓰는 중인데 속당김 사라짐, 진정, 민감성 피부인데도 굳굳굳",1
은은한 향이 너무 좋아 매료된다!,1
까맣길래 처음엔 뭔가 싶었는데 스크럽과 곡물입자로 블랙헤드관리가 되어서 넘 좋구나~~,1
세상 좋아졌다 아기들 윰차 이너시트로 온열매트두 나오고!,1
따뜻하니 우리 소을이 이제 궁디뜨끈 하겠네^^,1
유명한 건 이유가 다 있는 법!,1
울 소을이가 소리에 반응하는 것 같아서 선택한 첨소리 소리나는 매트 겟 !,1
헤헤 좋아하네~~^^,1
화사하니 집안 분위기가 사네?!,1
좋아서 두개째다!,1
민감한 피부에 좋은 천연한방비누 아미솝!,1
좋다 좋아~^^,1
고양시.. 아이를 위한 시설도 많고 살기 좋아보여서.. 이사오고 싶네!,1
내가 좋아하는 #천연비누 #아미솝,1
천연비누에 매력에 빠진 이후로 줄 곧 세안시 #아미솝천연비누 만 쓰고 있다-!!,1
이번에는 향이 좋은 #이마각질 #각질제거 에 좋은 #각질비누 -!!,1
가격 부담도 없어서 선물하기에도 좋은 #아미솝비누 ^^,1
헤헤 피부미인 되겠어-!!,1
힐링이 필요하다고 떠난 바다에서 유용하게 사용한 멀티블랭킷을 소개하려고 해요!,1
"이름은 `마타도어 포켓블랭킷 오션` 이지만 블랭킷뿐 아니라 돗자리, 캠핑매트, 우의, 덮게, 담요 등 다양하게 활용할 수 있는 요긴한 제품인데요~!",1
요 쪼마난 것이 펼치면 확~ 커지는 요술담요죠!,1
양 사이드에는 4개의 지지용 핀이 숨겨져있어서 바람이 불 때를 대비해 똭 걸어 펼쳐놓기 좋답니다!,1
